timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1688556488902,160,delete user,200,OK,StressTest 1-14,text,true,,1754,237,8,8,https://dummyjson.com/users/1,160,0,0
1688556488908,156,update user,200,OK,StressTest 1-17,text,true,,1491,234,7,7,https://dummyjson.com/users/1,156,0,0
1688556488930,156,update user,200,OK,StressTest 1-18,text,true,,1491,234,7,7,https://dummyjson.com/users/1,156,0,0
1688556488963,156,delete user,200,OK,StressTest 1-15,text,true,,1754,237,7,7,https://dummyjson.com/users/1,156,0,0
1688556488992,157,delete user,200,OK,StressTest 1-16,text,true,,1754,237,6,6,https://dummyjson.com/users/1,157,0,0
1688556489010,154,delete user,200,OK,StressTest 1-6,text,true,,1754,237,5,5,https://dummyjson.com/users/1,154,0,0
1688556489030,153,update user,200,OK,StressTest 1-20,text,true,,1491,234,4,4,https://dummyjson.com/users/1,153,0,0
1688556489064,153,delete user,200,OK,StressTest 1-17,text,true,,1754,237,4,4,https://dummyjson.com/users/1,153,0,0
1688556489062,153,update user,200,OK,StressTest 1-19,text,true,,1491,234,4,4,https://dummyjson.com/users/1,153,0,0
1688556489087,156,delete user,200,OK,StressTest 1-18,text,true,,1754,237,3,3,https://dummyjson.com/users/1,156,0,0
1688556489184,154,delete user,200,OK,StressTest 1-20,text,true,,1754,237,2,2,https://dummyjson.com/users/1,154,0,0
1688556489233,157,delete user,200,OK,StressTest 1-19,text,true,,1754,237,1,1,https://dummyjson.com/users/1,157,0,0
